IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
152.70.155.147,443,443,true,LAX,North America,Los Angeles,230,4.43
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,109,4.42
164.152.26.70,2052,443,true,ORD,North America,Chicago,434,4.41
152.70.123.225,8443,443,true,SJC,North America,San Jose,260,4.41
158.101.23.233,2053,443,true,LAX,North America,Los Angeles,211,4.36
192.9.138.241,443,443,true,SJC,North America,San Jose,249,4.32
152.70.155.147,2096,2096,true,LAX,North America,Los Angeles,213,4.32
129.146.254.39,443,443,true,LAX,North America,Los Angeles,227,4.22
141.147.19.235,443,443,true,FRA,Europe,Frankfurt,307,4.19
129.153.213.8,443,443,true,LAX,North America,Los Angeles,336,4.13
138.2.226.15,443,443,true,SJC,North America,San Jose,222,4.01
141.148.224.15,443,443,true,FRA,Europe,Frankfurt,379,3.94
151.145.36.72,443,443,true,YYZ,North America,Toronto,261,3.91
143.47.177.1,443,443,true,FRA,Europe,Frankfurt,309,3.80
158.101.32.53,2053,443,true,LAX,North America,Los Angeles,215,3.74
146.235.192.207,443,443,true,SJC,North America,San Jose,292,3.74
130.162.42.140,443,443,true,FRA,Europe,Frankfurt,277,3.73
146.235.219.98,443,443,true,SJC,North America,San Jose,251,3.69
138.2.154.130,443,443,true,FRA,Europe,Frankfurt,321,3.68
152.67.231.219,443,443,true,SJC,North America,San Jose,258,3.67
192.9.137.193,8443,443,true,SJC,North America,San Jose,241,3.67
138.2.159.6,443,443,true,FRA,Europe,Frankfurt,323,3.59
138.2.144.216,443,443,true,FRA,Europe,Frankfurt,340,3.49
193.122.50.6,443,443,true,FRA,Europe,Frankfurt,294,3.38
129.146.84.236,443,443,true,LAX,North America,Los Angeles,480,3.36
143.47.178.206,443,443,true,FRA,Europe,Frankfurt,287,3.35
141.147.75.99,443,443,true,FRA,Europe,Frankfurt,339,3.27
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,288,2.89
144.21.50.101,443,443,true,FRA,Europe,Frankfurt,293,2.78
155.248.202.141,443,443,true,SJC,North America,San Jose,258,2.78
143.47.243.144,8443,443,true,LHR,Europe,London,278,2.65
158.101.201.148,443,443,true,FRA,Europe,Frankfurt,278,2.30
143.47.249.166,443,443,true,FRA,Europe,Frankfurt,299,2.24
84.8.158.78,443,443,true,FRA,Europe,Frankfurt,301,2.11
129.159.83.88,8443,443,true,IAD,North America,Ashburn,267,2.04
84.235.175.69,443,443,true,FRA,Europe,Frankfurt,312,1.54
155.248.196.123,443,443,true,YVR,North America,Vancouver,278,1.30
192.9.157.76,443,8443,true,SJC,North America,San Jose,299,1.22
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,263,1.18
143.47.182.56,2053,443,true,AMS,Europe,Amsterdam,284,1.17
144.24.74.51,443,443,true,ICN,Asia Pacific,Seoul,89,0.94
158.101.169.13,2053,443,true,FRA,Europe,Frankfurt,291,0.89
